title,backers,pledged,goal,comments,start_date,end_date,previously_created
Stop Thief! - The Classic 1979 Board Game Restored!,1207,47731.84,25000.0,131,2017/03/14,2017/04/11,0
"Colour Chess + Lure - Two games, one colourful board!",21,556.0,3500.0,0,,2017/04/14,4
Annals of Game Night: Catalog every game night!,6,108.0,100.0,4,2017/03/17,2017/03/31,5
Toucan Play that Game - Season 2,118,2217.0,1500.0,25,2017/02/28,2017/04/06,0
BATTLE ROOM,5,240.0,16000.0,0,2017/03/06,2017/04/15,0
The Right of Kings - Medieval Playing Cards Set & Board Game,188,7308.0,11000.0,28,2017/03/01,2017/04/10,0
"Play! Gaming Cafe, York",114,5215.0,11000.0,4,2017/03/09,2017/04/18,0
King Eddy Board & Beer Game,77,2013.0,2000.0,4,2017/02/20,2017/04/21,0
Not My President - The Board Game,48,2136.0,5000.0,0,2017/03/14,2017/04/13,0
"Shopping Race, a board game for all the family",3,13.0,16500.0,1,2017/03/03,2017/04/02,0
The Rollin' Inn Board Game Cafe,29,1270.0,10000.0,7,2017/02/18,2017/03/31,2
"Yeti Mountain - The Three-Dimensional, Adventure Board Game",65,4964.0,28500.0,58,2017/03/16,2017/04/16,0
Hardwood Storage Solutions / Deck Boxes / D&D / Board Games,40,4659.0,3000.0,8,2017/03/01,2017/03/31,2
The Last Garden - Robotanists in the Post-Apocalypse.,606,22167.84,9800.0,151,2017/02/21,2017/03/29,2
4th Quarter Touchdown Football,0,0.0,26000.0,0,2017/02/21,2017/04/02,0
Tribes: Early Civilization,531,275730.0,300000.0,74,2017/03/10,2017/04/09,0
Rising Sun,24385,3087921.0,300000.0,19689,2017/03/07,2017/04/04,26
Basket of Deplorables - The Board Game!,164,10729.0,22000.0,3,2017/03/01,2017/04/05,0
Super Chibi A.C.E.,37,1517.0,4500.0,10,2017/03/07,2017/03/27,6
The Pirate Republic,934,85100.0,29000.0,614,2017/02/21,2017/03/29,2
LocoBuilder Boardgame.,1,60.0,35000.0,0,,2017/04/26,0
Strategy,6,79.0,10000.0,9,2017/03/05,2017/04/24,0
Crossroads of Heroes,502,280998.0,200000.0,221,2017/02/28,2017/03/31,0
Sigil - Powers of War,131,9468.0,28000.0,37,2017/03/16,2017/04/18,0
Zebulon: Galactic Control,122,6856.0,8500.0,8,2017/03/06,2017/04/05,0
MemWars - The Art of Memory.,9,631.0,12000.0,0,2017/03/08,2017/04/07,0
Vikingar: Conquest of the world – Exploration Boardgame,342,26632.5,55000.0,73,,2017/04/19,0
HEXplore It: The Valley of the Dead King,852,64184.0,28000.0,593,2017/03/06,2017/04/05,0
"In The Works: Art for ""Mountains of Meykloria""",2,30.0,800.0,0,2017/03/17,2017/04/06,0
The Glass Die,95,4413.0,2000.0,46,2017/03/08,2017/04/01,0
"Roller Coaster Challenge: Half Logic Game, Half Building Set",405,18887.0,10000.0,41,2017/02/27,2017/03/31,0
Stadium Re-boot!,50,2545.0,35.0,4,2017/02/17,2017/04/03,9
Board Matz: Vinyl Wargaming Mats Including Customised Logos,30,991.0,100.0,13,2017/03/09,2017/04/08,0
Wu Wei: Journey of the Changing Path,298,17219.0,24000.0,36,,2017/04/24,2
The Grimm Forest,2741,141237.84,35000.0,765,,2017/04/14,2
Archon Classic | Board Game,6,515.0,1000.0,9,2017/01/30,2017/03/30,2
Capitalist Kitten Board Game,22,1807.0,30000.0,1,2017/03/01,2017/03/31,0
Cytosis: A Cell Biology Board Game,2483,133611.0,14500.0,293,2017/03/14,2017/04/14,8
